UAD Harrison 32C EQ;UAD Harrison 32C SE;UAD Harrison 32C;;
UAD Helios Type 69 Legacy EQ;UAD Helios Type 69 Legacy;;;
UAD Ibanez Tube Screamer TS808 Overdrive;UAD Ibanez Tube Screamer TS808;;;
UAD Korg SDD-3000 Digital Delay;UAD Korg SDD-3000;;;
UAD Lexicon 224 Digital Reverb;UAD Lexicon 224;;;
UAD Little Labs IBP Phase Alignment;UAD Little Labs IBP;;;
UAD Little Labs VOG Bass Enhancer;UAD Little Labs VOG;;;
UAD Maag EQ4 EQ;UAD Maag EQ4;;;
UAD Manley Massive Passive EQ Collection;UAD Manley Massive Passive MST;UAD Manley Massive Passive;;
UAD Manley Variable Mu Limiter;UAD Manley Variable Mu;;;
UAD Manley VOXBOX Channel Strip;UAD Manley VOXBOX;;;
UAD Marshall Bluesbreaker 1962 Amplifier;UAD Marshall Bluesbreaker 1962;;;
UAD Marshall JMP 2203 Amplifier;UAD Marshall JMP 2203;;;
UAD Marshall Plexi Classic Amplifier;UAD Marshall Plexi Classic;;;
UAD Marshall Plexi Super Lead 1959 Amplifier;UAD Marshall Plexi Super Lead 1959;;;
UAD Marshall Silver Jubilee 2555 Amplifier;UAD Marshall Silver Jubilee 2555;;;
UAD Massenburg DesignWorks MDWEQ5 EQ;UAD MDWEQ5-3B;UAD MDWEQ5-5B;;
UAD Millennia NSEQ-2 EQ;UAD Millennia NSEQ-2;;;
UAD Moog Multimode Filter Collection;UAD Moog Multimode Filter SE;UAD Moog Multimode Filter XL;UAD Moog Multimode Filter;
UAD Moog Multimode Legacy Filter;UAD Moog Multimode Filter SE;UAD Moog Multimode Filter XL;UAD Moog Multimode Filter;
UAD MXR Flanger-Doubler;UAD MXR Flanger-Doubler;;;
UAD Neve 1073 Legacy EQ;UAD Neve 1073 Legacy;;;
UAD Neve 1073 Preamp and EQ Collection;UAD Neve 1073;UAD Neve 1073SE Legacy;;
UAD Neve 1081 EQ;UAD Neve 1081;UAD Neve 1081SE;;
UAD Neve 31102 EQ;UAD Neve 31102;UAD Neve 31102SE;;
UAD Neve 33609 Compressor;UAD Neve 33609;UAD Neve 33609SE;;
UAD Neve 88RS Channel Strip Collection;UAD Neve 88RS;;;
UAD Neve 88RS Legacy Channel Strip;UAD Neve 88RS Legacy;;;
UAD Ocean Way Microphone Collection;UAD Ocean Way Mic Collection;;;
UAD Ocean Way Studios Room Modeler;UAD Ocean Way Studios;;;
UAD OTO Biscuit 8-bit Filter Effects;UAD OTO Biscuit 8-bit Effects;;;
UAD Oxford Dynamic EQ;UAD Oxford Dynamic EQ;;;
UAD Oxford Envolution Envelope Shaper;UAD Oxford Envolution;;;
UAD Oxford EQ;UAD Oxford EQ;;;
UAD Oxford Inflator;UAD Oxford Inflator;;;
UAD Oxford Limiter V2;UAD Oxford Limiter;;;
UAD Oxide Tape Recorder;UAD Oxide Tape;;;
UAD Precision Buss Compressor;UAD Precision Buss Compressor;;;
UAD Precision De-Esser;UAD Precision De-Esser;;;
UAD Precision Enhancer Hz;UAD Precision Enhancer Hz;;;
UAD Precision Enhancer kHz;UAD Precision Enhancer kHz;;;
UAD Precision Equalizer;UAD Precision Equalizer;;;
UAD Precision K-Stereo Ambience Recovery;UAD Precision K-Stereo;;;
UAD Precision Limiter;UAD Precision Limiter;;;
UAD Precision Maximizer;UAD Precision Maximizer;;;
UAD Precision Mix Rack Collection;UAD Precision Delay Mod L;UAD Precision Delay Mod;UAD Precision Channel Strip;UAD Precision Reflection Engine
UAD Precision Multiband Compressor;UAD Precision Multiband;;;
UAD Pultec EQP-1A Legacy EQ;UAD Pultec EQP-1A Legacy;;;
UAD Pultec Passive EQ Collection;UAD Pultec HLF-3C;UAD Pultec MEQ-5;UAD Pultec EQP-1A;
UAD Pultec-Pro Legacy EQ;UAD Pultec-Pro Legacy;;;
UAD Pure Plate Reverb;UAD Pure Plate;;;
UAD Raw Distortion;UAD Raw;;;
UAD RealVerb-Pro Room Modeler;UAD RealVerb-Pro;;;
UAD Roland CE-1 Chorus;UAD Roland CE-1;;;
UAD Roland Dimension D Chorus;UAD Roland Dimension D;;;
UAD Roland RE-201 Tape Delay;UAD Roland RE-201;;;
UAD Shadow Hills Mastering Compressor;UAD Shadow Hills Mastering Compressor;;;
UAD Softube Amp Room Half-Stack;UAD Softube Amp Room Half-Stack;;;
UAD Softube Bass Amp Room;UAD Softube Bass Amp Room;;;
UAD Softube Bass Amp Room 8x10;UAD Softube Bass Amp Room 8x10;;;
UAD Softube Metal Amp Room;UAD Softube Metal Amp Room;;;
UAD Softube Vintage Amp Room;UAD Softube Vintage Amp Room;;;
UAD Sound Machine Wood Works;UAD Sound Machine Wood Works;;;
UAD SPL Transient Designer;UAD SPL Transient Designer;;;
UAD SPL TwinTube Saturation;UAD SPL TwinTube;;;
UAD SPL Vitalizer MK2-T;UAD SPL Vitalizer MK2-T;;;
UAD SSL 4000 E Channel Strip Collection;UAD SSL E Channel Strip;;;
UAD SSL 4000 E Legacy Channel Strip;UAD SSL E Channel Strip Legacy;;;
UAD SSL 4000 G Bus Compressor Collection;UAD SSL G Bus Compressor;;;
UAD SSL 4000 G Legacy Bus Compressor;UAD SSL G Bus Compressor Legacy;;;
UAD Studer A800 Tape Recorder;UAD Studer A800;;;
UAD Studio D Chorus;UAD Studio D Chorus;;;
UAD Summit Audio TLA-100A Compressor;UAD Summit Audio TLA-100A;;;
UAD Teletronix LA-2A Legacy Leveler;UAD Teletronix LA-2A Legacy;;;
UAD Teletronix LA-2A Leveler Collection;UAD Teletronix LA-2;UAD Teletronix LA-2A Gray;UAD Teletronix LA-2A Silver;
UAD Teletronix LA-3A Leveler;UAD LA3A;;;
UAD Thermionic Culture Vulture Distortion;UAD Thermionic Culture Vulture;;;
UAD Tonelux Tilt EQ;UAD Tonelux Tilt;UAD Tonelux Tilt Live;;
UAD Townsend Labs Sphere Mic Modeler;UAD Townsend Labs Sphere 180;UAD Townsend Labs Sphere;;
UAD Trident A-Range EQ;UAD Trident A-Range;;;
UAD TS Overdrive;UAD TS Overdrive;;;
UAD Tube-Tech CL 1B Compressor;UAD Tube-Tech CL 1B;;;
UAD Tube-Tech EQ Collection;UAD Tube-Tech PE 1C;UAD Tube-Tech ME 1B;;
UAD UA 1176 Limiter Collection;UAD UA 1176AE;UAD UA 1176 Rev A;UAD UA 1176LN Rev E;
UAD UA 1176LN Legacy Limiter;UAD UA 1176LN Legacy;;;
UAD UA 1176SE Legacy Limiter;UAD UA 1176SE Legacy;;;
UAD UA 610-A Tube Preamp and EQ;UAD UA 610-A;;;
UAD UA 610-B Tube Preamp and EQ;UAD UA 610-B;;;
UAD Valley People Dyna-mite Dynamics;UAD Valley People Dyna-mite;;;
UAD Vertigo VSC-2 Compressor;UAD Vertigo VSC-2;;;
UAD Vertigo VSM-3 Saturator;UAD Vertigo VSM-3;;;
UAD Helios Type 69 Preamp and EQ Collection;UAD Helios Type 69;;;
UAD Friedman Buxom Betty Amplifier;UAD Friedman Buxom Betty;;;
UAD ADA Flanger;UAD ADA Flanger;;;
UAD Neve Preamp;UAD Neve Preamp;;;
Ampeg SVT-VR Classic Bass Amplifier;UAD Ampeg SVTVR Classic;;;
UAD Putnam Microphone Collection;UAD Putnam Mic Collection 180;UAD Putnam Mic Collection;;
UAD Suhr PT100 Amplifier;UAD Suhr PT100;;;
UAD bx_masterdesk;UAD bx_masterdesk;;;
UAD Century Tube Channel Strip;UAD Century Tube Channel Strip;;;
UAD Lexicon 480L Digital Reverb and Effects;UAD Lexicon 480L;;;
UAD Softube Vocoder;UAD Softube Vocoder;;;
UAD AMS Neve DFC Channel Strip;UAD AMS Neve DFC Channel Strip;;;
UAD Suhr SE100 Amplifier;UAD Suhr SE100;;;
UAD bx_masterdesk Classic;UAD bx_masterdesk Classic;;;
UAD Diezel Herbert Amplifier;UAD Diezel Herbert;;;
UAD Auto-Tune Realtime Advanced;UAD Auto-Tune Realtime Advanced;;;
UAD V76 Preamp;UAD V76 Preamp;;;
